"Sample_ID","depth_mid_cm","age_ka_bp","age_ka_bp_q025","age_ka_bp_q16","age_ka_bp_q84","age_ka_bp_q975","nalk_C29_d2H_permille","nalk_C29_d2H_sd","nalk_C27_conc_ug_g_dw","nalk_C29_conc_ug_g_dw","nalk_C31_conc_ug_g_dw","nalk_C33_conc_ug_g_dw","CPI_C23_33"
"EX-040",307,6.3475,6.0399,6.1905,6.5044,6.6551,-176.1,1.8,3.631,4.079,0.954,,7.79
"EX-041",309.3,6.4945,6.1811,6.3346,6.6544,6.8079,-171.1,1.91,5.902,6.158,1.167,0.628,2.65
"EX-042",344,7.0576,6.7221,6.8865,7.2288,7.3931,-176.5,0.82,4.68,5.31,1.273,0.685,7.93
"EX-043",342,7.1107,6.7731,6.9384,7.2829,7.4482,-180.2,1.66,2.716,3.149,0.793,0.427,8.82
"EX-044",352.2,7.4057,7.0566,7.2276,7.5839,7.7548,-177.3,0.82,1.506,1.726,0.424,0.228,7.13
"EX-045",361.7,7.5419,7.1875,7.3611,7.7228,7.8964,-173.5,1.76,1.752,1.87,0.381,0.205,8.62
"EX-046",356.6,7.5575,7.2025,7.3764,7.7387,7.9126,-179.9,1.53,4.231,4.825,1.17,0.63,7.64
"EX-047",370.4,7.6854,7.3253,7.5017,7.8691,8.0455,-179.6,0.65,1.995,2.311,0.581,0.313,6.11
"EX-048",366.2,7.7699,7.4065,7.5845,7.9553,8.1333,-179.8,2.39,4.537,5.414,1.449,0.78,3.02
"EX-049",370.1,7.8828,7.515,7.6951,8.0705,8.2506,-181.7,2.47,3.493,4.08,1.044,0.562,3.01
"EX-050",377.8,7.954,7.5834,7.7649,8.143,8.3245,-181.2,2.23,1.458,1.708,0.44,0.237,6.57
"EX-051",389.9,8.1633,7.7845,7.97,8.3566,8.5421,-185.5,1.35,2.67,3.198,0.862,0.464,7.02
"EX-052",404.6,8.5467,8.1529,8.3458,8.7476,8.9405,-178.7,0.82,3.258,3.558,0.772,0.416,4.04
"EX-053",403.6,8.5757,8.1807,8.3741,8.7772,8.9706,-182.3,1.88,4.43,4.848,1.06,0.571,3.55
"EX-054",427.4,8.9739,8.5633,8.7644,9.1834,9.3845,-181.1,1.64,2.112,2.319,0.512,0.276,4.58
"EX-055",448.9,9.371,8.9449,9.1536,9.5884,9.7971,-179.4,0.67,3.285,3.565,0.761,0.41,7.21
"EX-056",439.9,9.4622,9.0325,9.243,9.6815,9.8919,-180.2,1.54,1.79,2.018,0.476,0.256,8.84
"EX-057",460.6,9.6933,9.2545,9.4694,9.9171,10.132,-174.2,1.21,1.728,1.752,0.3,0.162,7.75
"EX-058",464,9.8979,9.4511,9.67,10.1259,10.3447,-171.7,0.65,3.759,3.764,0.615,0.331,3.96
"EX-059",474.1,10.0246,9.5728,9.7941,10.2551,10.4764,-172.5,2.05,3.259,3.453,0.687,0.37,6.24
"EX-060",474.2,10.2146,9.7554,9.9803,10.4489,10.6738,-172.7,0.99,5.177,5.193,0.854,0.46,3.29
"EX-061",535.4,11.4703,10.9619,11.2109,11.7297,11.9788,-170.5,1.62,6.222,6.215,1.005,0.541,5.57
"EX-062",540.8,11.6375,11.1226,11.3748,11.9003,12.1525,-173.6,1.11,3.809,3.948,0.732,0.394,5.37
"EX-063",550.5,11.822,11.2998,11.5556,12.0885,12.3443,-204,1.71,1.996,3.179,1.286,0.692,8.08
"EX-064",555.7,11.9771,11.4488,11.7076,12.2467,12.5054,-205.7,2.35,2.996,4.798,1.951,1.051,6.44
"EX-065",565.6,12.1007,11.5675,11.8287,12.3727,12.6338,-207.4,0.69,1.761,2.934,1.239,0.667,8.08
"EX-066",577.5,12.3075,11.7663,12.0314,12.5837,12.8488,-205.8,1.06,1.574,2.653,1.133,0.61,8.53
"EX-067",583,12.5439,11.9934,12.2631,12.8248,13.0945,-207.7,1.88,2.223,3.77,1.618,0.871,6.81
"EX-068",601.4,12.9344,12.3686,12.6457,13.2231,13.5003,-197.1,2.22,2.039,2.935,1.059,0.57,7.72
"EX-069",599,12.9408,12.3747,12.652,13.2296,13.5069,-196.2,1.11,4.593,6.164,2.023,1.089,5.43
"EX-070",613.5,13.1223,12.5491,12.8298,13.4147,13.6954,-197.9,0.88,2.483,3.476,1.21,0.651,6.34
